Country Grouping,,Machine Line,,Artificial machine line,Primary Source,Secondary source NOT IN USE,CRP source,"Change
Indicator",delete,"Motor graders we have TM for, Backhoe Loaders we do not have TM for"
GAT,Austria,340,Rigid Haulers,Rigid Haulers,OHR,,CEE,,,
GAT,Austria,350,Compact Wheel Loaders,350,OHR,,CEE,,,
GAT,Austria,360,GPE Wheel Loaders,WLO,OHR,,CEE,,,
GAT,Austria,380,Motor Graders,Motor Graders,OHR,,CEE,,,
GAT,Austria,390,Compaction Machines,Compaction Machines,,,,,,
GAT,Austria,410,Backhoe Loaders,Backhoe Loaders,OHR,,,,,
GBE,Belgium,300,Compact Excavators,CEX,OHR,,CEE,,,
GBE,Belgium,310,GPE Crawler Excavators,GEC,OHR,,CEE,,,
GBE,Belgium,320,GPE Wheel Excavators,GEW,OHR,,CEE,,,
GBE,Belgium,330,Articulated Haulers,Articulated Haulers,OHR,,CEE,,,
GBE,Belgium,340,Rigid Haulers,Rigid Haulers,OHR,,CEE,,,
GBE,Belgium,350,Compact Wheel Loaders,350,OHR,,CEE,,,
GBE,Belgium,360,GPE Wheel Loaders,WLO,OHR,,CEE,,,
GBE,Belgium,380,Motor Graders,Motor Graders,OHR,,CEE,,,
GBE,Belgium,390,Compaction Machines,Compaction Machines,,,,,,
GBE,Belgium,410,Backhoe Loaders,Backhoe Loaders,OHR,,,,,
GBR,Brazil,300,Compact Excavators,CEX,OHR,PIN,ABQ,,change to Abimaq,
GBR,Brazil,310,GPE Crawler Excavators,GEC,OHR,PIN,ABQ,,change to Abimaq,
GBR,Brazil,320,GPE Wheel Excavators,GEW,OHR,PIN,HVE,,no change,
GBR,Brazil,330,Articulated Haulers,Articulated Haulers,OHR,PIN,HVE,,no change,
GBR,Brazil,340,Rigid Haulers,Rigid Haulers,OHR,PIN,HVE,,no change,
GBR,Brazil,350,Compact Wheel Loaders,350,OHR,PIN,ABQ,,change to Abimaq,
GBR,Brazil,360,GPE Wheel Loaders,WLO,OHR,PIN,ABQ,,change to Abimaq,
GBR,Brazil,380,Motor Graders,Motor Graders,OHR,PIN,ABQ,,change to Abimaq,
GBR,Brazil,390,Compaction Machines,Compaction Machines,OHR,PIN,ABQ,,to Abimaq,
GBR,Brazil,410,Backhoe Loaders,Backhoe Loaders,OHR,PIN,,,,
GKH,Cambodia,300,Compact Excavators,CEX,DES,,HVE,,,
GKH,Cambodia,310,GPE Crawler Excavators,GEC,DES,,HVE,,,
GKH,Cambodia,320,GPE Wheel Excavators,GEW,DES,,HVE,,,
GKH,Cambodia,330,Articulated Haulers,Articulated Haulers,DES,,HVE,,,
GKH,Cambodia,340,Rigid Haulers,Rigid Haulers,DES,,HVE,,,
GKH,Cambodia,350,Compact Wheel Loaders,350,DES,,HVE,,,
GKH,Cambodia,360,GPE Wheel Loaders,WLO,DES,,HVE,,,
GKH,Cambodia,380,Motor Graders,Motor Graders,DES,,HVE,,,
GKH,Cambodia,390,Compaction Machines,Compaction Machines,DES,,,,,
GKH,Cambodia,410,Backhoe Loaders,Backhoe Loaders,DES,,,,,
GCA,Canada,300,Compact Excavators,CEX,OHR,,HVN,,,
GCA,Canada,310,GPE Crawler Excavators,GEC,OHR,,HVN,,,
GCA,Canada,320,GPE Wheel Excavators,GEW,OHR,,HVN,,,
GCA,Canada,330,Articulated Haulers,Articulated Haulers,OHR,,HVN,,,
GCA,Canada,340,Rigid Haulers,Rigid Haulers,OHR,,HVN,,,
GCA,Canada,350,Compact Wheel Loaders,350,OHR,,HVN,,,
GCA,Canada,360,GPE Wheel Loaders,WLO,OHR,,HVN,,,
GCA,Canada,380,Motor Graders,Motor Graders,OHR,,HVN,,,
GCA,Canada,390,Compaction Machines,Compaction Machines,ORR,,,,,
GCA,Canada,410,Backhoe Loaders,Backhoe Loaders,OHR,,,,,
GCL,Chile,300,Compact Excavators,CEX,CLF,,HVE,,,
GCL,Chile,310,GPE Crawler Excavators,GEC,CLF,,HVE,,,
GCL,Chile,320,GPE Wheel Excavators,GEW,CLF,,HVE,,,
GCL,Chile,330,Articulated Haulers,Articulated Haulers,CLF,,HVE,,,
GCL,Chile,340,Rigid Haulers,Rigid Haulers,CLF,,HVE,,,
GCL,Chile,350,Compact Wheel Loaders,350,CLF,,HVE,,,
GCL,Chile,360,GPE Wheel Loaders,WLO,CLF,,HVE,,,
GCL,Chile,380,Motor Graders,Motor Graders,CLF,,HVE,,,
GCL,Chile,390,Compaction Machines,Compaction Machines,CLF,,,,,
GCL,Chile,410,Backhoe Loaders,Backhoe Loaders,CLF,,,,,
GCN,China,300,Compact Excavators,CEX,OHR,,MAC,,,
GCN,China,310,GPE Crawler Excavators,GEC,OHR,,MAC,,,
GCN,China,320,GPE Wheel Excavators,GEW,OHR,,MAC,,,
GCN,China,330,Articulated Haulers,Articulated Haulers,OHR,,HVE,,,
GCN,China,340,Rigid Haulers,Rigid Haulers,OHR,,HVE,,,
GCN,China,350,Compact Wheel Loaders,350,OHR,,MAC,,,
GCN,China,360,GPE Wheel Loaders,WLO,OHR,,MAC,,,
GCN,China,380,Motor Graders,Motor Graders,OHR,,HVE,,,
GCN,China,390,Compaction Machines,Compaction Machines,CMM,,,,,
GCN,China,410,Backhoe Loaders,Backhoe Loaders,OHR,,,,,
GCO,Colombia,300,Compact Excavators,CEX,OHR,PIN,HVE,,,
GCO,Colombia,310,GPE Crawler Excavators,GEC,OHR,PIN,HVE,,,
GCO,Colombia,320,GPE Wheel Excavators,GEW,OHR,PIN,HVE,,,
GCO,Colombia,330,Articulated Haulers,Articulated Haulers,OHR,PIN,HVE,,,
GCO,Colombia,340,Rigid Haulers,Rigid Haulers,OHR,PIN,HVE,,,
GCO,Colombia,350,Compact Wheel Loaders,350,OHR,PIN,HVE,,,
GCO,Colombia,360,GPE Wheel Loaders,WLO,OHR,PIN,HVE,,,
GCO,Colombia,380,Motor Graders,Motor Graders,OHR,PIN,HVE,,,
GCO,Colombia,390,Compaction Machines,Compaction Machines,OHR,PIN,,,,
GCO,Colombia,410,Backhoe Loaders,Backhoe Loaders,OHR,PIN,,,,
GCZ,Czech Republic,300,Compact Excavators,CEX,OHR,,CEE,,,
GCZ,Czech Republic,310,GPE Crawler Excavators,GEC,OHR,,CEE,,,
GCZ,Czech Republic,320,GPE Wheel Excavators,GEW,OHR,,CEE,,,
GCZ,Czech Republic,330,Articulated Haulers,Articulated Haulers,OHR,,CEE,,,
GCZ,Czech Republic,340,Rigid Haulers,Rigid Haulers,OHR,,CEE,,,
GCZ,Czech Republic,350,Compact Wheel Loaders,350,OHR,,CEE,,,
GCZ,Czech Republic,360,GPE Wheel Loaders,WLO,OHR,,CEE,,,
GCZ,Czech Republic,380,Motor Graders,Motor Graders,OHR,,CEE,,,
GCZ,Czech Republic,390,Compaction Machines,Compaction Machines,,,,,,
GCZ,Czech Republic,410,Backhoe Loaders,Backhoe Loaders,OHR,,,,,
GDK,Denmark,300,Compact Excavators,CEX,OHR,,CEE,,,
GDK,Denmark,310,GPE Crawler Excavators,GEC,OHR,,CEE,,,
GDK,Denmark,320,GPE Wheel Excavators,GEW,OHR,,CEE,,,
GDK,Denmark,330,Articulated Haulers,Articulated Haulers,OHR,,CEE,,,
GDK,Denmark,340,Rigid Haulers,Rigid Haulers,OHR,,CEE,,,
GDK,Denmark,350,Compact Wheel Loaders,350,OHR,,CEE,,,
GDK,Denmark,360,GPE Wheel Loaders,WLO,OHR,,CEE,,,
GDK,Denmark,380,Motor Graders,Motor Graders,OHR,,CEE,,,
GDK,Denmark,390,Compaction Machines,Compaction Machines,,,,,,
GDK,Denmark,410,Backhoe Loaders,Backhoe Loaders,OHR,,,,,
GFI,Finland,300,Compact Excavators,CEX,OHR,,CEE,,,
GFI,Finland,310,GPE Crawler Excavators,GEC,OHR,,CEE,,,
GFI,Finland,320,GPE Wheel Excavators,GEW,OHR,,CEE,,,
GFI,Finland,330,Articulated Haulers,Articulated Haulers,OHR,,CEE,,,
GFI,Finland,340,Rigid Haulers,Rigid Haulers,OHR,,CEE,,,
GFI,Finland,350,Compact Wheel Loaders,350,OHR,,CEE,,,
GFI,Finland,360,GPE Wheel Loaders,WLO,OHR,,CEE,,,
GFI,Finland,380,Motor Graders,Motor Graders,OHR,,CEE,,,
GFI,Finland,390,Compaction Machines,Compaction Machines,,,,,,
GFI,Finland,410,Backhoe Loaders,Backhoe Loaders,OHR,,,,,
GFR,France,300,Compact Excavators,CEX,OHR,,HVE,,,
GFR,France,310,GPE Crawler Excavators,GEC,OHR,,CEE,,,
GFR,France,320,GPE Wheel Excavators,GEW,OHR,,CEE,,,
GFR,France,330,Articulated Haulers,Articulated Haulers,OHR,,CEE,,,
GFR,France,340,Rigid Haulers,Rigid Haulers,OHR,,CEE,,,
GFR,France,350,Compact Wheel Loaders,350,OHR,,CEE,,,
GFR,France,360,GPE Wheel Loaders,WLO,OHR,,CEE,,,
GFR,France,380,Motor Graders,Motor Graders,OHR,,CEE,,,
GFR,France,390,Compaction Machines,Compaction Machines,ORR,,,,,
GFR,France,410,Backhoe Loaders,Backhoe Loaders,OHR,,,,,
GDE,Germany,300,Compact Excavators,CEX,OHR,,CEE,,,
GDE,Germany,310,GPE Crawler Excavators,GEC,OHR,,CEE,,,
GDE,Germany,320,GPE Wheel Excavators,GEW,OHR,,CEE,,,
GDE,Germany,330,Articulated Haulers,Articulated Haulers,OHR,,CEE,,,
GDE,Germany,340,Rigid Haulers,Rigid Haulers,OHR,,CEE,,,
GDE,Germany,350,Compact Wheel Loaders,350,OHR,,CEE,,,
GDE,Germany,360,GPE Wheel Loaders,WLO,OHR,,CEE,,,
GDE,Germany,380,Motor Graders,Motor Graders,OHR,,CEE,,,
GDE,Germany,390,Compaction Machines,Compaction Machines,,,,,,
GDE,Germany,410,Backhoe Loaders,Backhoe Loaders,OHR,,,,,
GIN,India,300,Compact Excavators,CEX,OHR,,INA,,,
GIN,India,310,GPE Crawler Excavators,GEC,OHR,,INA,,,
GIN,India,320,GPE Wheel Excavators,GEW,OHR,,INA,,,
GIN,India,330,Articulated Haulers,Articulated Haulers,OHR,,INA,,,
GIN,India,340,Rigid Haulers,Rigid Haulers,OHR,,HVE,,,
GIN,India,350,Compact Wheel Loaders,350,OHR,,INA,,,
GIN,India,360,GPE Wheel Loaders,WLO,OHR,,INA,,,
GIN,India,380,Motor Graders,Motor Graders,OHR,,INA,,,
GIN,India,390,Compaction Machines,Compaction Machines,OHR,,,,,
GIN,India,410,Backhoe Loaders,Backhoe Loaders,OHR,,,,,
GID,Indonesia,300,Compact Excavators,CEX,DES,,HVE,,,
GID,Indonesia,310,GPE Crawler Excavators,GEC,DES,,HVE,,,
GID,Indonesia,320,GPE Wheel Excavators,GEW,DES,,HVE,,,
GID,Indonesia,330,Articulated Haulers,Articulated Haulers,DES,,HVE,,,
GID,Indonesia,340,Rigid Haulers,Rigid Haulers,DES,,HVE,,,
GID,Indonesia,350,Compact Wheel Loaders,350,DES,,HVE,,,
GID,Indonesia,360,GPE Wheel Loaders,WLO,DES,,HVE,,,
GID,Indonesia,380,Motor Graders,Motor Graders,DES,,HVE,,,
GID,Indonesia,390,Compaction Machines,Compaction Machines,DES,,,,,
GID,Indonesia,410,Backhoe Loaders,Backhoe Loaders,DES,,,,,
GIE,Ireland,300,Compact Excavators,CEX,OHR,,CEE,,,
GIE,Ireland,310,GPE Crawler Excavators,GEC,OHR,,CEE,,,
GIE,Ireland,320,GPE Wheel Excavators,GEW,OHR,,CEE,,,
GIE,Ireland,330,Articulated Haulers,Articulated Haulers,OHR,,CEE,,,
GIE,Ireland,340,Rigid Haulers,Rigid Haulers,OHR,,CEE,,,
GIE,Ireland,350,Compact Wheel Loaders,350,OHR,,CEE,,,
