country_grouping,country_name,machine_line_code,machine_line_name,primary_source,secondary_source,crp_source,change_indicator
GCZ,Czech Republic,390,Compaction Machines,,,,
GCZ,Czech Republic,410,Backhoe Loaders,OHR,,,
GDK,Denmark,300,Compact Excavators,OHR,,CEE,
GDK,Denmark,310,GPE Crawler Excavators,OHR,,CEE,
GDK,Denmark,320,GPE Wheel Excavators,OHR,,CEE,
GDK,Denmark,330,Articulated Haulers,OHR,,CEE,
GDK,Denmark,340,Rigid Haulers,OHR,,CEE,
GDK,Denmark,350,Compact Wheel Loaders,OHR,,CEE,
GDK,Denmark,360,GPE Wheel Loaders,OHR,,CEE,
GDK,Denmark,380,Motor Graders,OHR,,CEE,
GDK,Denmark,390,Compaction Machines,,,,
GDK,Denmark,410,Backhoe Loaders,OHR,,,
GFI,Finland,300,Compact Excavators,OHR,,CEE,
GFI,Finland,310,GPE Crawler Excavators,OHR,,CEE,
GFI,Finland,320,GPE Wheel Excavators,OHR,,CEE,
GFI,Finland,330,Articulated Haulers,OHR,,CEE,
GFI,Finland,340,Rigid Haulers,OHR,,CEE,
GFI,Finland,350,Compact Wheel Loaders,OHR,,CEE,
GFI,Finland,360,GPE Wheel Loaders,OHR,,CEE,
GFI,Finland,380,Motor Graders,OHR,,CEE,
GFI,Finland,390,Compaction Machines,,,,
GFI,Finland,410,Backhoe Loaders,OHR,,,
GFR,France,300,Compact Excavators,OHR,,HVE,
GFR,France,310,GPE Crawler Excavators,OHR,,CEE,
GFR,France,320,GPE Wheel Excavators,OHR,,CEE,
GFR,France,330,Articulated Haulers,OHR,,CEE,
GFR,France,340,Rigid Haulers,OHR,,CEE,
GFR,France,350,Compact Wheel Loaders,OHR,,CEE,
GFR,France,360,GPE Wheel Loaders,OHR,,CEE,
GFR,France,380,Motor Graders,OHR,,CEE,
GFR,France,390,Compaction Machines,ORR,,,
GFR,France,410,Backhoe Loaders,OHR,,,
GDE,Germany,300,Compact Excavators,OHR,,CEE,
GDE,Germany,310,GPE Crawler Excavators,OHR,,CEE,
GDE,Germany,320,GPE Wheel Excavators,OHR,,CEE,
GDE,Germany,330,Articulated Haulers,OHR,,CEE,
GDE,Germany,340,Rigid Haulers,OHR,,CEE,
GDE,Germany,350,Compact Wheel Loaders,OHR,,CEE,
GDE,Germany,360,GPE Wheel Loaders,OHR,,CEE,
GDE,Germany,380,Motor Graders,OHR,,CEE,
GDE,Germany,390,Compaction Machines,,,,
GDE,Germany,410,Backhoe Loaders,OHR,,,
GIN,India,300,Compact Excavators,OHR,,INA,
GIN,India,310,GPE Crawler Excavators,OHR,,INA,
GIN,India,320,GPE Wheel Excavators,OHR,,INA,
GIN,India,330,Articulated Haulers,OHR,,INA,
GIN,India,340,Rigid Haulers,OHR,,HVE,
GIN,India,350,Compact Wheel Loaders,OHR,,INA,
GIN,India,360,GPE Wheel Loaders,OHR,,INA,
GIN,India,380,Motor Graders,OHR,,INA,
GIN,India,390,Compaction Machines,OHR,,,
GIN,India,410,Backhoe Loaders,OHR,,,
GID,Indonesia,300,Compact Excavators,DES,,HVE,
GID,Indonesia,310,GPE Crawler Excavators,DES,,HVE,
GID,Indonesia,320,GPE Wheel Excavators,DES,,HVE,
GID,Indonesia,330,Articulated Haulers,DES,,HVE,
GID,Indonesia,340,Rigid Haulers,DES,,HVE,
GID,Indonesia,350,Compact Wheel Loaders,DES,,HVE,
GID,Indonesia,360,GPE Wheel Loaders,DES,,HVE,
GID,Indonesia,380,Motor Graders,DES,,HVE,
GID,Indonesia,390,Compaction Machines,DES,,,
GID,Indonesia,410,Backhoe Loaders,DES,,,
GIE,Ireland,300,Compact Excavators,OHR,,CEE,
GIE,Ireland,310,GPE Crawler Excavators,OHR,,CEE,
GIE,Ireland,320,GPE Wheel Excavators,OHR,,CEE,
GIE,Ireland,330,Articulated Haulers,OHR,,CEE,
GIE,Ireland,340,Rigid Haulers,OHR,,CEE,
GIE,Ireland,350,Compact Wheel Loaders,OHR,,CEE,
GIE,Ireland,360,GPE Wheel Loaders,OHR,,CEE,
GIE,Ireland,380,Motor Graders,OHR,,CEE,
GIE,Ireland,390,Compaction Machines,,,,
GIE,Ireland,410,Backhoe Loaders,OHR,,,
GIT,Italy,300,Compact Excavators,OHR,,CEE,
GIT,Italy,310,GPE Crawler Excavators,OHR,,CEE,
GIT,Italy,320,GPE Wheel Excavators,OHR,,CEE,
GIT,Italy,330,Articulated Haulers,OHR,,CEE,
GIT,Italy,340,Rigid Haulers,OHR,,CEE,
GIT,Italy,350,Compact Wheel Loaders,OHR,,CEE,
GIT,Italy,360,GPE Wheel Loaders,OHR,,CEE,
GIT,Italy,380,Motor Graders,OHR,,CEE,
GIT,Italy,390,Compaction Machines,ORR,,,
GIT,Italy,410,Backhoe Loaders,OHR,,,
GJP,Japan,330,Articulated Haulers,OHR,OHR,HVE,
GJP,Japan,410,Backhoe Loaders,OHR,OHR,,
GJP,Japan,300,Compact Excavators,OHR,,HVE,
GJP,Japan,350,Compact Wheel Loaders,OHR,,HVE,
GJP,Japan,390,Compaction Machines,DES,,,
GJP,Japan,310,GPE Crawler Excavators,OHR,,HVE,
GJP,Japan,320,GPE Wheel Excavators,OHR,OHR,HVE,
