Calendar Year,Source,,Machine Line,,Brand Code,
2024,HARGROVE,HVE,GPE Excavators Wheeled,GEW,Hyundai,HYU
2024,HARGROVE,HVE,Articulated Haulers,330,Hyundai,HYU
2024,HARGROVE,HVE,Compact Excavators,CEX,Hyundai,HYU
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,Hyundai,HYU
2024,HARGROVE,HVE,Motor Graders,380,Hyundai,HYU
2024,HARGROVE,HVE,Wheel Loaders,WLO,Hyundai,HYU
2024,HARGROVE,HVE,GPE Excavators Wheeled,GEW,JCB,JCB
2024,HARGROVE,HVE,Articulated Haulers,330,JCB,JCB
2024,HARGROVE,HVE,Compact Excavators,CEX,JCB,JCB
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,JCB,JCB
2024,HARGROVE,HVE,Wheel Loaders,WLO,JCB,JCB
2024,HARGROVE,HVE,Compact Excavators,CEX,Kato Imer,KAT
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,Kato Imer,KAT
2024,HARGROVE,HVE,GPE Excavators Wheeled,GEW,Kobelco,KOB
2024,HARGROVE,HVE,Compact Excavators,CEX,Kobelco,KOB
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,Kobelco,KOB
2024,HARGROVE,HVE,Wheel Loaders,WLO,Kobelco,KOB
2024,HARGROVE,HVE,GPE Excavators Wheeled,GEW,Komatsu,KOM
2024,HARGROVE,HVE,Articulated Haulers,330,Komatsu,KOM
2024,HARGROVE,HVE,Compact Excavators,CEX,Komatsu,KOM
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,Komatsu,KOM
2024,HARGROVE,HVE,Rigid Haulers,340,Komatsu,KOM
2024,HARGROVE,HVE,Motor Graders,380,Komatsu,KOM
2024,HARGROVE,HVE,Wheel Loaders,WLO,Komatsu,KOM
2024,HARGROVE,HVE,Compact Excavators,CEX,Komatsu Mining,KMM
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,Komatsu Mining,KMM
2024,HARGROVE,HVE,Wheel Loaders,WLO,Kramer,KRA
2024,HARGROVE,HVE,Compact Excavators,CEX,Kubota,KUB
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,Kubota,KUB
2024,HARGROVE,HVE,Wheel Loaders,WLO,Kubota,KUB
2024,HARGROVE,HVE,GPE Excavators Wheeled,GEW,Liebherr,LIE
2024,HARGROVE,HVE,Articulated Haulers,330,Liebherr,LIE
