Calendar Year,Source,source_code,Machine Line,Artificial machine line,Machine Line Code,Brand,Brand Code
2024,CECE,CEE,GPE Excavators Crawled,GEC,GEC,New Holland,NEW
2024,CECE,CEE,Motor Graders,Motor Graders,380,New Holland,NEW
2024,CECE,CEE,Wheel Loaders,WLO,WLO,New Holland,NEW
2024,CECE,CEE,GPE Excavators Wheeled,GEW,GEW,New Holland,NEW
2024,CECE,CEE,Wheel Loaders,WLO,WLO,Paus,PAU
2024,CECE,CEE,Articulated Haulers,Articulated Haulers,330,Rokbak,ROK
2024,CECE,CEE,Compact Excavators,CEX,CEX,Sany,SNY
2024,CECE,CEE,GPE Excavators Crawled,GEC,GEC,Sany,SNY
2024,CECE,CEE,Wheel Loaders,WLO,WLO,Sany,SNY
2024,CECE,CEE,GPE Excavators Wheeled,GEW,GEW,Sany,SNY
2024,CECE,CEE,Motor Graders,Motor Graders,380,SEM,SEM
2024,CECE,CEE,Wheel Loaders,WLO,WLO,SEM,SEM
2024,CECE,CEE,Compact Excavators,CEX,CEX,Sunward,SUN
2024,CECE,CEE,GPE Excavators Crawled,GEC,GEC,Sunward,SUN
2024,CECE,CEE,Wheel Loaders,WLO,WLO,Venieri,VEN
2024,CECE,CEE,Rigid Haulers,Rigid Haulers,340,Volvo,VCE
2024,CECE,CEE,Compact Excavators,CEX,CEX,Volvo,VCE
2024,CECE,CEE,GPE Excavators Crawled,GEC,GEC,Volvo,VCE
2024,CECE,CEE,Articulated Haulers,Articulated Haulers,330,Volvo,VCE
2024,CECE,CEE,Motor Graders,Motor Graders,380,Volvo,VCE
2024,CECE,CEE,Wheel Loaders,WLO,WLO,Volvo,VCE
2024,CECE,CEE,GPE Excavators Wheeled,GEW,GEW,Volvo,VCE
2024,CECE,CEE,Compact Excavators,CEX,CEX,Wacker Neuson,WAN
2024,CECE,CEE,GPE Excavators Crawled,GEC,GEC,Wacker Neuson,WAN
2024,CECE,CEE,Wheel Loaders,WLO,WLO,Wacker Neuson,WAN
2024,CECE,CEE,GPE Excavators Wheeled,GEW,GEW,Wacker Neuson,WAN
