Year,Geographical Region,Geographical Market Area,End Country,End Country Code,Machine Family,Machine Line,Machine Line Code,Size Class,Size Class Mapping,Total Market FID Sales
2024,Region Asia,MA Asia East,Philippines,PH,General Purpose Equipment,GPE Crawler Excavators,310,EC24<28,>10T,48
2024,Region Asia,MA Asia East,Philippines,PH,General Purpose Equipment,GPE Crawler Excavators,310,EC28<33,>10T,71
2024,Region Asia,MA Asia East,Philippines,PH,General Purpose Equipment,GPE Crawler Excavators,310,EC300<500,>10T,11
2024,Region Asia,MA Asia East,Philippines,PH,General Purpose Equipment,GPE Crawler Excavators,310,EC33<40,>10T,126
2024,Region Asia,MA Asia East,Philippines,PH,General Purpose Equipment,GPE Crawler Excavators,310,EC40<50,>10T,30
2024,Region Asia,MA Asia East,Philippines,PH,General Purpose Equipment,GPE Crawler Excavators,310,EC50<66,>10T,10
2024,Region Asia,MA Asia East,Philippines,PH,General Purpose Equipment,GPE Crawler Excavators,310,EC66<80,>10T,1
2024,Region Asia,MA Asia East,Philippines,PH,General Purpose Equipment,GPE Crawler Excavators,310,EC80<100,>10T,2
2024,Region Asia,MA Asia East,Philippines,PH,General Purpose Equipment,GPE Wheel Excavators,320,EW13<15,>11T,213
2024,Region Asia,MA Asia East,Philippines,PH,General Purpose Equipment,GPE Wheel Excavators,320,EW15<17,>11T,150
2024,Region Asia,MA Asia East,Philippines,PH,General Purpose Equipment,GPE Wheel Excavators,320,EW17<20,>11T,8
2024,Region Asia,MA Asia East,Philippines,PH,General Purpose Equipment,GPE Wheel Excavators,320,EW20+,>11T,12
2024,Region Asia,MA Asia East,Philippines,PH,General Purpose Equipment,GPE Wheel Loaders,360,WLC13<14,>12,57
2024,Region Asia,MA Asia East,Philippines,PH,General Purpose Equipment,GPE Wheel Loaders,360,WLC14<15,>12,59
2024,Region Asia,MA Asia East,Philippines,PH,General Purpose Equipment,GPE Wheel Loaders,360,WLC15<16,>12,178
