Calendar Year,Region,Market Area,Country,Machine Line code,Machine Line,Size Class Flag,Brand Owner code,Brand Owner ,Brand,Brand Nationality,Source,FID
2024,Region Europe,"MA ASC EU, IL & Balkan",Spain,330,Articulated Haulers,Articulated Haulers,VCE,Volvo CE,Volvo,Sweden,SAL,17
2024,Region Europe,"MA ASC EU, IL & Balkan",Spain,350,Compact Wheel Loaders,10<12,VCE,Volvo CE,Volvo,Sweden,SAL,23
2024,Region Europe,"MA ASC EU, IL & Balkan",Spain,350,Compact Wheel Loaders,7<10,VCE,Volvo CE,Volvo,Sweden,SAL,5
2024,Region Europe,"MA ASC EU, IL & Balkan",Spain,360,GPE Wheel Loaders,>12,VCE,Volvo CE,Volvo,Sweden,SAL,130
2024,Region Europe,MA France,France,300,Compact Excavators,Midi,VCE,Volvo CE,Volvo,Sweden,SAL,111
2024,Region Europe,MA France,France,300,Compact Excavators,Mini,VCE,Volvo CE,Volvo,Sweden,SAL,466
2024,Region Europe,MA France,France,310,GPE Crawler Excavators,>10T,VCE,Volvo CE,Volvo,Sweden,SAL,222
2024,Region Europe,MA France,France,320,GPE Wheel Excavators,>11T,VCE,Volvo CE,Volvo,Sweden,SAL,263
2024,Region Europe,MA France,France,330,Articulated Haulers,Articulated Haulers,VCE,Volvo CE,Rokbak,United Kingdom,SAL,1
2024,Region Europe,MA France,France,330,Articulated Haulers,Articulated Haulers,VCE,Volvo CE,Volvo,Sweden,SAL,99
2024,Region Europe,MA France,France,350,Compact Wheel Loaders,<7,VCE,Volvo CE,Volvo,Sweden,SAL,3
2024,Region Europe,MA France,France,350,Compact Wheel Loaders,10<12,VCE,Volvo CE,Volvo,Sweden,SAL,23
2024,Region Europe,MA France,France,350,Compact Wheel Loaders,7<10,VCE,Volvo CE,Volvo,Sweden,SAL,167
2024,Region Europe,MA France,France,360,GPE Wheel Loaders,>12,VCE,Volvo CE,Volvo,Sweden,SAL,215
