Calendar Year,Region,Market Area,Country,Machine Line code,Machine Line,Size Class Flag,Brand Owner code,Brand Owner ,Brand,Brand Nationality,Source,FID
2023,Region Asia,MA SE Asia,Taiwan,360,GPE Wheel Loaders,>12,VCE,Volvo CE,SDLG,China,SAL,4
2023,Region Asia,MA SE Asia,Taiwan,360,GPE Wheel Loaders,>12,VCE,Volvo CE,Volvo,Sweden,SAL,5
2023,Region Asia,MA SE Asia,Thailand,300,Compact Excavators,Midi,VCE,Volvo CE,SDLG,China,SAL,8
2023,Region Asia,MA SE Asia,Thailand,300,Compact Excavators,Mini,VCE,Volvo CE,SDLG,China,SAL,3
2023,Region Asia,MA SE Asia,Thailand,300,Compact Excavators,Mini,VCE,Volvo CE,Volvo,Sweden,SAL,2
2023,Region Asia,MA SE Asia,Thailand,310,GPE Crawler Excavators,>10t,VCE,Volvo CE,SDLG,China,SAL,96
2023,Region Asia,MA SE Asia,Thailand,310,GPE Crawler Excavators,>10t,VCE,Volvo CE,Volvo,Sweden,SAL,53
2023,Region Asia,MA SE Asia,Thailand,320,GPE Wheel Excavators,>11t,VCE,Volvo CE,Volvo,Sweden,SAL,2
2023,Region Asia,MA SE Asia,Thailand,350,Compact Wheel Loaders,7<10,VCE,Volvo CE,SDLG,China,SAL,10
2023,Region Asia,MA SE Asia,Thailand,360,GPE Wheel Loaders,>12,VCE,Volvo CE,SDLG,China,SAL,15
2023,Region Asia,MA SE Asia,Viet Nam,310,GPE Crawler Excavators,>10t,VCE,Volvo CE,SDLG,China,SAL,2
2023,Region Asia,MA SE Asia,Viet Nam,310,GPE Crawler Excavators,>10t,VCE,Volvo CE,Volvo,Sweden,SAL,8
2023,Region Asia,MA SE Asia,Viet Nam,320,GPE Wheel Excavators,>11t,VCE,Volvo CE,Volvo,Sweden,SAL,4
2023,Region Asia,MA SE Asia,Viet Nam,330,Articulated Haulers,Articulated Haulers,VCE,Volvo CE,Volvo,Sweden,SAL,3
2023,Region Asia,MA SE Asia,Viet Nam,360,GPE Wheel Loaders,>12,VCE,Volvo CE,Volvo,Sweden,SAL,7
2023,Region China,MA China,China,300,Compact Excavators,Midi,VCE,Volvo CE,SDLG,China,SAL,"2,214"
2023,Region China,MA China,China,300,Compact Excavators,Mini,VCE,Volvo CE,SDLG,China,SAL,"2,225"
2023,Region China,MA China,China,300,Compact Excavators,Mini,VCE,Volvo CE,Volvo,Sweden,SAL,8
2023,Region China,MA China,China,310,GPE Crawler Excavators,>10t,VCE,Volvo CE,SDLG,China,SAL,"2,049"
2023,Region China,MA China,China,310,GPE Crawler Excavators,>10t,VCE,Volvo CE,Volvo,Sweden,SAL,925
2023,Region China,MA China,China,320,GPE Wheel Excavators,>11t,VCE,Volvo CE,SDLG,China,SAL,19
2023,Region China,MA China,China,320,GPE Wheel Excavators,>11t,VCE,Volvo CE,Volvo,Sweden,SAL,14
2023,Region China,MA China,China,330,Articulated Haulers,Articulated Haulers,VCE,Volvo CE,Volvo,Sweden,SAL,3
2023,Region China,MA China,China,350,Compact Wheel Loaders,7<10,VCE,Volvo CE,SDLG,China,SAL,547
2023,Region China,MA China,China,360,GPE Wheel Loaders,>12,VCE,Volvo CE,SDLG,China,SAL,"8,659"
2023,Region China,MA China,China,360,GPE Wheel Loaders,>12,VCE,Volvo CE,Volvo,Sweden,SAL,51
2023,Region Europe,"MA ASC EU, IL & Balkan",Austria,300,Compact Excavators,Midi,VCE,Volvo CE,Volvo,Sweden,SAL,9
2023,Region Europe,"MA ASC EU, IL & Balkan",Austria,300,Compact Excavators,Mini,VCE,Volvo CE,Volvo,Sweden,SAL,38
2023,Region Europe,"MA ASC EU, IL & Balkan",Austria,310,GPE Crawler Excavators,>10t,VCE,Volvo CE,Volvo,Sweden,SAL,58
2023,Region Europe,"MA ASC EU, IL & Balkan",Austria,320,GPE Wheel Excavators,>11t,VCE,Volvo CE,Volvo,Sweden,SAL,17
2023,Region Europe,"MA ASC EU, IL & Balkan",Austria,330,Articulated Haulers,Articulated Haulers,VCE,Volvo CE,Volvo,Sweden,SAL,8
2023,Region Europe,"MA ASC EU, IL & Balkan",Austria,350,Compact Wheel Loaders,10<12,VCE,Volvo CE,Volvo,Sweden,SAL,13
2023,Region Europe,"MA ASC EU, IL & Balkan",Austria,350,Compact Wheel Loaders,7<10,VCE,Volvo CE,Volvo,Sweden,SAL,7
2023,Region Europe,"MA ASC EU, IL & Balkan",Austria,360,GPE Wheel Loaders,>12,VCE,Volvo CE,Volvo,Sweden,SAL,77
2023,Region Europe,"MA ASC EU, IL & Balkan",Czech Republic,300,Compact Excavators,Midi,VCE,Volvo CE,Volvo,Sweden,SAL,1
2023,Region Europe,"MA ASC EU, IL & Balkan",Czech Republic,300,Compact Excavators,Mini,VCE,Volvo CE,Volvo,Sweden,SAL,10
2023,Region Europe,"MA ASC EU, IL & Balkan",Czech Republic,310,GPE Crawler Excavators,>10t,VCE,Volvo CE,Volvo,Sweden,SAL,16
2023,Region Europe,"MA ASC EU, IL & Balkan",Czech Republic,320,GPE Wheel Excavators,>11t,VCE,Volvo CE,Volvo,Sweden,SAL,24
2023,Region Europe,"MA ASC EU, IL & Balkan",Czech Republic,330,Articulated Haulers,Articulated Haulers,VCE,Volvo CE,Volvo,Sweden,SAL,6
2023,Region Europe,"MA ASC EU, IL & Balkan",Czech Republic,350,Compact Wheel Loaders,10<12,VCE,Volvo CE,Volvo,Sweden,SAL,9
2023,Region Europe,"MA ASC EU, IL & Balkan",Czech Republic,350,Compact Wheel Loaders,7<10,VCE,Volvo CE,Volvo,Sweden,SAL,8
2023,Region Europe,"MA ASC EU, IL & Balkan",Czech Republic,360,GPE Wheel Loaders,>12,VCE,Volvo CE,Volvo,Sweden,SAL,44
2023,Region Europe,"MA ASC EU, IL & Balkan",Portugal,300,Compact Excavators,Midi,VCE,Volvo CE,Volvo,Sweden,SAL,14
2023,Region Europe,"MA ASC EU, IL & Balkan",Portugal,300,Compact Excavators,Mini,VCE,Volvo CE,Volvo,Sweden,SAL,56
2023,Region Europe,"MA ASC EU, IL & Balkan",Portugal,310,GPE Crawler Excavators,>10t,VCE,Volvo CE,Volvo,Sweden,SAL,56
2023,Region Europe,"MA ASC EU, IL & Balkan",Portugal,320,GPE Wheel Excavators,>11t,VCE,Volvo CE,Volvo,Sweden,SAL,5
2023,Region Europe,"MA ASC EU, IL & Balkan",Portugal,330,Articulated Haulers,Articulated Haulers,VCE,Volvo CE,Volvo,Sweden,SAL,11
2023,Region Europe,"MA ASC EU, IL & Balkan",Portugal,350,Compact Wheel Loaders,10<12,VCE,Volvo CE,Volvo,Sweden,SAL,4
2023,Region Europe,"MA ASC EU, IL & Balkan",Portugal,350,Compact Wheel Loaders,7<10,VCE,Volvo CE,Volvo,Sweden,SAL,4
