Brand Name,Brand Code,"Deletion
Indicator"
TIA,TIA,
TIANGONG,TIA,
TIANJIN CONSTRUCTION MACHINERY,TJC,
TIANJIN TRACTOR,TTR,
TIANSHUN GREAT WALL,TSU,
TIANYU,TNY,
TIGERCAT,TIG,
TITAN,TIT,
TMV,OTN,
TOBROCCO,TOB,
TOBROCO,TOB,
TOBROCO GIANT,TOB,
TOBROCO MACHINES,TOB,
TOBROCO MACHINES OR GIANT,TOB,
TONG YANG,TOG,
TONG YANG MOOLSAN CO.,TOG,
TONGWU,STM,
TONGZHOU,TOZ,
TONLY,OCN,
TOPONE,TOP,
TORTONE,TTN,
TOTAL MARKET ADJUSTMENT,ADJ,
TOYOTA,TOY,
TRAMONTINI,TMT,
TRAMONTINI (BR),TMT,
TRX,TRX,
TSUN,TSU,
TSUN GREATWALL,TSU,
TSUNG,TSU,
TUISHAN,TUH,
TVEX,TVZ,
TVEX (TVER EXCAVATOR PLANT),TVZ,
TVZ,TVZ,
TWISAN,TWI,
TYM,OTN,
ULTRA,ULR,
ULTRA TORK,ULT,
UNICARRIERS,UNP,
UNIDACHS,UDC,
UNIPAVE,UNP,
UNIT RIG,URI,
UNITER,UEP,
UNITER ENGINEERING PRODUCTS,UEP,
UNKNOWN,OTH,
V?GELE,VOG,
VALPADANA,VLP,
VALTRA,VAL,
VCE,VCE,
VECTRA,VEC,
VEEKMANS,VEE,
VEEKMAS,VEE,
VEKTOR,OCN,
VENIERI,VEN,
VERMEER,VER,
VIBROMAX,VIM,
VIBROPLUS,VIB,
VIC,VIC,
VIKING,VIK,
VILAKONE,VIL,
VISHWAKARMA,VIW,
VJF,VJF,
VOG,VOG,
VOGELE,VOG,
VOGELE AMERICA,VOG,
VOLGOGRADSKII TZ,VTZ,
VOLKAN,VOK,
VOLVO,VCE,
VOLVO (IR),IRV,
VOLVO - ABG,ABG,
VOLVO CE,VCE,
VOLVO CE - ABG,VCE,
VOLVO?,VCE,
VOLWA,VOW,
VOSTOSUN,VSU,
VOSTOSUN INDUSTRIAL,VSU,
VOTE,OCN,
VSS,VSS,
VST,VST,
VSU,VSU,
VT LEEBOY,LEE,
V�GELE,VOG,
WACKER,WAK,
WACKER NEUSON,WAN,
WAGNER,WAG,
WAK,WAK,
WALDEN,WAD,
WALDON,WAL,
WALDON EQUIPMENT,WAL,
WANBANG,WAB,
WANG,WNG,
WAY,WAI,
WAY INDUSTRY,WAI,
WBEST,WBE,
WCH,WCH,
WEB,WEB,
WEBER,WEB,
WEC,WEC,
WECAN,WEC,
WEIDEMAN,WEI,
WEIDEMANN,WEI,
WEIDMAN,WEI,
WEIDMANN,WEI,
WEILER,WEL,
WEILER (CAT),WEL,
WEILER (GEHL),WEL,
WEILI,WWW,
WEILLER,WEL,
WEILONG,WLG,
WEIMAN,OCN,
WEIMENG,WMG,
WERKLUST,WER,
WEYCOR,OTN,
WILLE,WIL,
WIR,WIR,
WIRTGEN,WIR,
WIRTGEN GROUP,WIR,
WIRTGEN GROUP - VOGELE,VOG,
WNG,WNG,
WODE,WOD,
WOG,WOG,
WOLF,QZE,
WORKER,OCN,
WORLD,WOG,
WORLD GROUP,WOG,
WORLD HEAVY,WOG,
WUHAN,WCH,
WUHLF,OCN,
