tmc_row,Country Grouping,B,Country,Region,Machine Line,Machine Line,G,Size Class Flag,Brand Code,J,Reporter Flag,Pri/Sec,Source,FID,MS (%),TM,VCE FID,TM Non-VCE,CHECK 2024,existing_check,computed_check,match_count
98,GAR,Argentina,Argentina,Region Latin America,410,Backhoe Loaders,,,Gehl,GEH,,P,OHR,25,0,0,,,0,0,1,1
99,GAR,Argentina,Argentina,Region Latin America,410,Backhoe Loaders,,,Hidromek,HID,,P,OHR,15,0,0,,,0,0,1,1
100,GAR,Argentina,Argentina,Region Latin America,410,Backhoe Loaders,,,Hyundai,HYU,,P,OHR,10,0,0,,,0,0,1,1
101,GAR,Argentina,Argentina,Region Latin America,410,Backhoe Loaders,,,JCB,JCB,,P,OHR,63,0,0,,,0,0,1,1
102,GAR,Argentina,Argentina,Region Latin America,410,Backhoe Loaders,,,Komatsu,KOM,,P,OHR,25,0,0,,,0,0,1,1
103,GAR,Argentina,Argentina,Region Latin America,410,Backhoe Loaders,,,Liangong,LIA,,P,OHR,5,0,0,,,0,0,1,1
104,GAR,Argentina,Argentina,Region Latin America,410,Backhoe Loaders,,,Liugong,LIU,,P,OHR,20,0,0,,,0,0,1,1
105,GAR,Argentina,Argentina,Region Latin America,410,Backhoe Loaders,,,Lonking,LON,,P,OHR,10,0,0,,,0,0,1,1
106,GAR,Argentina,Argentina,Region Latin America,410,Backhoe Loaders,,,Mecalac,MEC,,P,OHR,2,0,0,,,0,0,1,1
107,GAR,Argentina,Argentina,Region Latin America,410,Backhoe Loaders,,,New Holland,NEW,,P,OHR,70,0,0,,,0,0,1,1
108,GAR,Argentina,Argentina,Region Latin America,410,Backhoe Loaders,,,OTN,OTN,,P,OHR,9,0,0,,,0,0,1,1
109,GAR,Argentina,Argentina,Region Latin America,410,Backhoe Loaders,,,Sany,SNY,,P,OHR,15,0,0,,,0,0,1,1
110,GAR,Argentina,Argentina,Region Latin America,410,Backhoe Loaders,,,SDLG,LIN,,P,OHR,1,0,0,,,0,0,1,1
111,GAR,Argentina,Argentina,Region Latin America,410,Backhoe Loaders,,,Sinomach,SIM,,P,OHR,20,0,0,,,0,0,1,1
112,GAR,Argentina,Argentina,Region Latin America,410,Backhoe Loaders,,,Taurus,TAU,,P,OHR,5,0,0,,,0,0,1,1
113,GAR,Argentina,Argentina,Region Latin America,410,Backhoe Loaders,,,XCMG,XCM,,P,OHR,15,0,0,,,0,0,1,1
114,GAR,Argentina,Argentina,Region Latin America,CEX,Compact Excavators,,6<10T,Jiahe,JIH,,P,PIN,1,0,0,,,1,1,1,1
115,GAR,Argentina,Argentina,Region Latin America,CEX,Compact Excavators,,6<10T,Shantui,SBM,Y,P,PIN,2,0,0,,,0,0,0,0
116,GAR,Argentina,Argentina,Region Latin America,CEX,Compact Excavators,,6<10T,XCMG,XCM,Y,P,PIN,3,0,0,,,0,0,0,0
117,GAR,Argentina,Argentina,Region Latin America,CEX,Compact Excavators,,<6T,Bobcat,BOB,Y,P,OHR,32,0,0,,,0,0,0,0
118,GAR,Argentina,Argentina,Region Latin America,CEX,Compact Excavators,,<6T,Deere,JOH,Y,P,OHR,2,0,0,,,0,0,0,0
119,GAR,Argentina,Argentina,Region Latin America,CEX,Compact Excavators,,<6T,Everun,EVR,,P,PIN,9,0,0,,,1,1,1,1
120,GAR,Argentina,Argentina,Region Latin America,CEX,Compact Excavators,,<6T,Foton Lovol,FOL,Y,P,PIN,6,0,0,,,0,0,0,0
121,GAR,Argentina,Argentina,Region Latin America,CEX,Compact Excavators,,<6T,Hyundai,HYU,Y,P,OHR,9,0,0,,,0,0,0,0
122,GAR,Argentina,Argentina,Region Latin America,CEX,Compact Excavators,,<6T,Jiahe,JIH,,P,PIN,4,0,0,,,1,1,1,1
123,GAR,Argentina,Argentina,Region Latin America,CEX,Compact Excavators,,<6T,Kobelco,KOB,Y,P,OHR,2,0,0,,,0,0,0,0
124,GAR,Argentina,Argentina,Region Latin America,CEX,Compact Excavators,,<6T,Liugong,LIU,Y,P,OHR,7,0,0,,,0,0,0,0
125,GAR,Argentina,Argentina,Region Latin America,CEX,Compact Excavators,,<6T,Lonking,LON,,P,OHR,3,0,0,,,1,1,1,1
126,GAR,Argentina,Argentina,Region Latin America,CEX,Compact Excavators,,<6T,OCN,OCN,,P,OHR,18,0,0,,,1,1,1,1
127,GAR,Argentina,Argentina,Region Latin America,CEX,Compact Excavators,,<6T,OTN,OTN,,P,OHR,38,0,0,,,1,1,1,1
128,GAR,Argentina,Argentina,Region Latin America,CEX,Compact Excavators,,<6T,Rippa China,CRM,,P,PIN,3,0,0,,,1,1,1,1
129,GAR,Argentina,Argentina,Region Latin America,CEX,Compact Excavators,,<6T,Sany,SNY,Y,P,OHR,14,0,0,,,0,0,0,0
130,GAR,Argentina,Argentina,Region Latin America,CEX,Compact Excavators,,<6T,Shandong Carter,CAR,,P,OHR,33,0,0,,,1,1,1,1
131,GAR,Argentina,Argentina,Region Latin America,CEX,Compact Excavators,,<6T,Shandong Rhinoceros,SRH,,P,PIN,12,0,0,,,1,1,1,1
132,GAR,Argentina,Argentina,Region Latin America,CEX,Compact Excavators,,<6T,Taurus,TAU,,P,OHR,60,0,0,,,1,1,1,1
133,GAR,Argentina,Argentina,Region Latin America,CEX,Compact Excavators,,<6T,Volvo,VCE,Y,P,OHR,7,0,0,,,0,0,0,0
134,GAR,Argentina,Argentina,Region Latin America,CEX,Compact Excavators,,<6T,Wacker Neuson,WAN,Y,P,OHR,16,0,0,,,0,0,0,0
135,GAR,Argentina,Argentina,Region Latin America,CEX,Compact Excavators,,<6T,XCMG,XCM,Y,P,PIN,9,0,0,,,0,0,0,0
136,GAR,Argentina,Argentina,Region Latin America,CEX,Compact Excavators,,<6T,Yuchai,YUC,,P,OHR,35,0,0,,,1,1,1,1
137,GAR,Argentina,Argentina,Region Latin America,CEX,Compact Excavators,,<6T,Zoomlion,ZOO,Y,P,OHR,4,0,0,,,0,0,0,0
138,GAR,Argentina,Argentina,Region Latin America,GEC,Crawler Excavators,,>10T,Jiahe,JIH,,P,PIN,4,0,0,,,0,0,1,1
139,GAR,Argentina,Argentina,Region Latin America,GEC,Crawler Excavators,,>10T,OCN,OCN,,P,PIN,31,0,0,,,0,0,1,1
140,GAR,Argentina,Argentina,Region Latin America,GEC,Crawler Excavators,,>10T,Pauny,PUY,,P,PIN,2,0,0,,,0,0,1,1
141,GAR,Argentina,Argentina,Region Latin America,GEC,GPE Excavators Crawled,,>6T,Case,CAS,Y,P,OHR,3,0,0,,,0,0,0,0
142,GAR,Argentina,Argentina,Region Latin America,GEC,GPE Excavators Crawled,,>6T,Caterpillar Inc,,Y,P,OHR,34,0,0,,,0,0,0,0
143,GAR,Argentina,Argentina,Region Latin America,GEC,GPE Excavators Crawled,,>6T,Deere,JOH,Y,P,OHR,23,0,0,,,0,0,0,0
144,GAR,Argentina,Argentina,Region Latin America,GEC,GPE Excavators Crawled,,>6T,Develon,DOO,Y,P,OHR,37,0,0,,,0,0,0,0
145,GAR,Argentina,Argentina,Region Latin America,GEC,GPE Excavators Crawled,,>6T,Foton Lovol,FOL,Y,P,OHR,38,0,0,,,0,0,0,0
146,GAR,Argentina,Argentina,Region Latin America,GEC,GPE Excavators Crawled,,>6T,Hidromek,HID,Y,P,OHR,5,0,0,,,0,0,0,0
147,GAR,Argentina,Argentina,Region Latin America,GEC,GPE Excavators Crawled,,>6T,Hyundai,HYU,Y,P,OHR,42,0,0,,,0,0,0,0
148,GAR,Argentina,Argentina,Region Latin America,GEC,GPE Excavators Crawled,,>6T,JCB,JCB,Y,P,OHR,16,0,0,,,0,0,0,0
149,GAR,Argentina,Argentina,Region Latin America,GEC,GPE Excavators Crawled,,>6T,Kobelco,KOB,Y,P,OHR,2,0,0,,,0,0,0,0
150,GAR,Argentina,Argentina,Region Latin America,GEC,GPE Excavators Crawled,,>6T,Komatsu,KOM,Y,P,OHR,67,0,0,,,0,0,0,0
151,GAR,Argentina,Argentina,Region Latin America,GEC,Crawler Excavators,,>6T,Liangong,LIA,,P,OHR,6,0,0,,,0,0,1,1
152,GAR,Argentina,Argentina,Region Latin America,GEC,GPE Excavators Crawled,,>6T,Linkbelt,,Y,P,OHR,13,0,0,,,0,0,0,0
153,GAR,Argentina,Argentina,Region Latin America,GEC,GPE Excavators Crawled,,>6T,Liugong,LIU,Y,P,OHR,24,0,0,,,0,0,0,0
154,GAR,Argentina,Argentina,Region Latin America,GEC,Crawler Excavators,,>6T,Lonking,LON,,P,OHR,10,0,0,,,0,0,1,1
155,GAR,Argentina,Argentina,Region Latin America,GEC,GPE Excavators Crawled,,>6T,New Holland,NEW,Y,P,OHR,20,0,0,,,0,0,0,0
156,GAR,Argentina,Argentina,Region Latin America,GEC,Crawler Excavators,,>6T,OTN,OTN,,P,OHR,15,0,0,,,0,0,1,1
157,GAR,Argentina,Argentina,Region Latin America,GEC,GPE Excavators Crawled,,>6T,Sany,SNY,Y,P,OHR,40,0,0,,,0,0,0,0
158,GAR,Argentina,Argentina,Region Latin America,GEC,GPE Excavators Crawled,,>6T,SDLG,LIN,Y,P,OHR,1,0,0,,,0,0,0,0
159,GAR,Argentina,Argentina,Region Latin America,GEC,GPE Excavators Crawled,,>6T,Shantui,SBM,Y,P,OHR,8,0,0,,,0,0,0,0
160,GAR,Argentina,Argentina,Region Latin America,GEC,Crawler Excavators,,>6T,Sinomach,SIM,,P,OHR,21,0,0,,,0,0,1,1
161,GAR,Argentina,Argentina,Region Latin America,GEC,GPE Excavators Crawled,,>6T,Sunward,SUN,Y,P,OHR,2,0,0,,,0,0,0,0
162,GAR,Argentina,Argentina,Region Latin America,GEC,GPE Excavators Crawled,,>6T,Volvo,VCE,Y,P,OHR,39,0,0,,,0,0,0,0
163,GAR,Argentina,Argentina,Region Latin America,GEC,GPE Excavators Crawled,,>6T,Wacker Neuson,WAN,Y,P,OHR,5,0,0,,,0,0,0,0
164,GAR,Argentina,Argentina,Region Latin America,GEC,GPE Excavators Crawled,,>6T,XCMG,XCM,Y,P,OHR,16,0,0,,,0,0,0,0
165,GAR,Argentina,Argentina,Region Latin America,GEC,GPE Excavators Crawled,,>6T,Zoomlion,ZOO,Y,P,OHR,33,0,0,,,0,0,0,0
166,GAR,Argentina,Argentina,Region Latin America,GEW,Wheeled Excavators,,>11T,Jiahe,JIH,,P,PIN,2,0,0,,,0,0,1,1
167,GAR,Argentina,Argentina,Region Latin America,GEW,GPE Excavators Wheeled,,>6T,Develon,DOO,Y,P,OHR,3,0,0,,,0,0,0,0
168,GAR,Argentina,Argentina,Region Latin America,GEW,GPE Excavators Wheeled,,>6T,Hyundai,HYU,Y,P,OHR,4,0,0,,,0,0,0,0
169,GAR,Argentina,Argentina,Region Latin America,GEW,Wheeled Excavators,,>6T,Liangong,LIA,,P,OHR,2,0,0,,,0,0,1,1
170,GAR,Argentina,Argentina,Region Latin America,WLO,Wheel Loaders,,10<12,Aolite,AOL,,P,PIN,12,0,0,,,0,0,0,0
171,GAR,Argentina,Argentina,Region Latin America,WLO,Wheel Loaders,,10<12,HZM,HUZ,,P,PIN,2,0,0,,,0,0,0,0
172,GAR,Argentina,Argentina,Region Latin America,WLO,Wheel Loaders,,10<12,Liugong,LIU,Y,P,PIN,11,0,0,,,0,0,0,0
173,GAR,Argentina,Argentina,Region Latin America,WLO,Wheel Loaders,,10<12,Lonking,LON,,P,PIN,8,0,0,,,0,0,0,0
174,GAR,Argentina,Argentina,Region Latin America,WLO,Wheel Loaders,,10<12,Luzhong,LUZ,,P,PIN,6,0,0,,,0,0,0,0
175,GAR,Argentina,Argentina,Region Latin America,WLO,Wheel Loaders,,7<10,Foton Lovol,FOL,Y,P,PIN,22,0,0,,,0,0,0,0
176,GAR,Argentina,Argentina,Region Latin America,WLO,Wheel Loaders,,7<10,Liugong,LIU,Y,P,PIN,24,0,0,,,0,0,0,0
177,GAR,Argentina,Argentina,Region Latin America,WLO,Wheel Loaders,,7<10,Lonking,LON,,P,PIN,20,0,0,,,0,0,0,0
178,GAR,Argentina,Argentina,Region Latin America,WLO,Wheel Loaders,,7<10,Shantui,SBM,Y,P,PIN,1,0,0,,,0,0,0,0
179,GAR,Argentina,Argentina,Region Latin America,WLO,Wheel Loaders,,7<10,Volvo,VCE,Y,P,PIN,1,0,0,,,0,0,0,0
180,GAR,Argentina,Argentina,Region Latin America,WLO,Wheel Loaders,,7<10,XCMG,XCM,Y,P,PIN,5,0,0,,,0,0,0,0
181,GAR,Argentina,Argentina,Region Latin America,WLO,Wheel Loaders,,<10,Michigan,MGN,,P,OHR,6,0,0,,,0,0,0,0
182,GAR,Argentina,Argentina,Region Latin America,WLO,Wheel Loaders,,<10,OCN,OCN,,P,OHR,3,0,0,,,0,0,0,0
183,GAR,Argentina,Argentina,Region Latin America,WLO,Wheel Loaders,,<10,OTN,OTN,,P,OHR,5,0,0,,,0,0,0,0
184,GAR,Argentina,Argentina,Region Latin America,WLO,Wheel Loaders,,<10,SDLG,LIN,Y,P,OHR,18,0,0,,,0,0,0,0
185,GAR,Argentina,Argentina,Region Latin America,WLO,Wheel Loaders,,<10,Taurus,TAU,,P,OHR,8,0,0,,,0,0,0,0
186,GAR,Argentina,Argentina,Region Latin America,WLO,Wheel Loaders,,<7,Avant,AVA,,P,PIN,9,0,0,,,0,0,0,0
187,GAR,Argentina,Argentina,Region Latin America,WLO,Wheel Loaders,,>10,Case,CAS,Y,P,OHR,7,0,0,,,0,0,0,0
